recording_id	prompt_id	take	tier	kind	asaxi	translation_en	translation_scope	dictionary_pitch_by_word	predicted_utterance_pitch_by_word	morphology_by_word	predicted_boundary_tone	reference_authority	reference_reading	reference_agreement	annotation_status
asx_ctl_004_t02	asx_ctl_004	2	A	prosody_control	mmbănă.	happy; joyful (citation form)	exact	mmbănă [L.H.L]	mmbănă [L.H.L]	mmbănă [lexical]	L%	attested	L.H.L	exact	attested
asx_ctl_004_t03	asx_ctl_004	3	A	prosody_control	mmbănă.	happy; joyful (citation form)	exact	mmbănă [L.H.L]	mmbănă [L.H.L]	mmbănă [lexical]	L%	attested	L.H.L	exact	attested
asx_ctl_005_t01	asx_ctl_005	1	A	prosody_control	gaviŕoŕo.	controlled compound citation form	exact	gaviŕoŕo [H.L.L.L]	gaviŕoŕo [H.L.L.L]	gaviŕoŕo [gavi (compound modifier) + ŕoŕo (compound head)]	L%	attested	H.L.L.L	exact	attested
asx_ctl_005_t02	asx_ctl_005	2	A	prosody_control	gaviŕoŕo.	controlled compound citation form	exact	gaviŕoŕo [H.L.L.L]	gaviŕoŕo [H.L.L.L]	gaviŕoŕo [gavi (compound modifier) + ŕoŕo (compound head)]	L%	attested	H.L.L.L	exact	attested
asx_ctl_005_t03	asx_ctl_005	3	A	prosody_control	gaviŕoŕo.	controlled compound citation form	exact	gaviŕoŕo [H.L.L.L]	gaviŕoŕo [H.L.L.L]	gaviŕoŕo [gavi (compound modifier) + ŕoŕo (compound head)]	L%	attested	H.L.L.L	exact	attested
asx_ctl_006_t01	asx_ctl_006	1	A	prosody_control	kozètètá.	controlled fused-compound citation form	exact	kozètètá [H.L.L.L]	kozètètá [H.L.L.L]	kozètètá [lexical]	L%	attested	H.L.L.L	exact	attested
asx_ctl_006_t02	asx_ctl_006	2	A	prosody_control	kozètètá.	controlled fused-compound citation form	exact	kozètètá [H.L.L.L]	kozètètá [H.L.L.L]	kozètètá [lexical]	L%	attested	H.L.L.L	exact	attested
asx_ctl_006_t03	asx_ctl_006	3	A	prosody_control	kozètètá.	controlled fused-compound citation form	exact	kozètètá [H.L.L.L]	kozètètá [H.L.L.L]	kozètètá [lexical]	L%	attested	H.L.L.L	exact	attested
asx_ctl_007_t01	asx_ctl_007	1	A	prosody_control	to wo shěso ma.	I have a book.	exact	to [L] | wo [L] | shěso [H.L] | ma [H]	to [H] | wo [L] | shěso [H.L] | ma [L]	to [lexical] | wo [lexical] | shěso [lexical] | ma [lexical]	L%	attested	H.L.H.L.L	exact	attested
asx_ctl_007_t02	asx_ctl_007	2	A	prosody_control	to wo shěso ma.	I have a book.	exact	to [L] | wo [L] | shěso [H.L] | ma [H]	to [H] | wo [L] | shěso [H.L] | ma [L]	to [lexical] | wo [lexical] | shěso [lexical] | ma [lexical]	L%	attested	H.L.H.L.L	exact	attested
asx_ctl_007_t03	asx_ctl_007	3	A	prosody_control	to wo shěso ma.	I have a book.	exact	to [L] | wo [L] | shěso [H.L] | ma [H]	to [H] | wo [L] | shěso [H.L] | ma [L]	to [lexical] | wo [lexical] | shěso [lexical] | ma [lexical]	L%	attested	H.L.H.L.L	exact	attested
asx_ctl_008_t01	asx_ctl_008	1	A	prosody_control	no xogă?	Are you coming?	exact	no [L] | xogă [L.H]	no [L] | xogă [L.L]	no [lexical] | xogă [lexical]	LH%	attested	L.L.L↗	exact	attested
asx_ctl_008_t02	asx_ctl_008	2	A	prosody_control	no xogă?	Are you coming?	exact	no [L] | xogă [L.H]	no [L] | xogă [L.L]	no [lexical] | xogă [lexical]	LH%	attested	L.L.L↗	exact	attested
asx_ctl_008_t03	asx_ctl_008	3	A	prosody_control	no xogă?	Are you coming?	exact	no [L] | xogă [L.H]	no [L] | xogă [L.L]	no [lexical] | xogă [lexical]	LH%	attested	L.L.L↗	exact	attested
asx_ctl_009_t01	asx_ctl_009	1	A	prosody_control	no kvå xoxo?	When are you leaving?	exact	no [L] | kvå [H] | xoxo [H.L]	no [L] | kvå [H] | xoxo [L.L]	no [lexical] | kvå [lexical] | xoxo [lexical]	LH%	attested	L.H.L.L↗	exact	attested
asx_ctl_009_t02	asx_ctl_009	2	A	prosody_control	no kvå xoxo?	When are you leaving?	exact	no [L] | kvå [H] | xoxo [H.L]	no [L] | kvå [H] | xoxo [L.L]	no [lexical] | kvå [lexical] | xoxo [lexical]	LH%	attested	L.H.L.L↗	exact	attested
asx_ctl_009_t03	asx_ctl_009	3	A	prosody_control	no kvå xoxo?	When are you leaving?	exact	no [L] | kvå [H] | xoxo [H.L]	no [L] | kvå [H] | xoxo [L.L]	no [lexical] | kvå [lexical] | xoxo [lexical]	LH%	attested	L.H.L.L↗	exact	attested
asx_ctl_010_t01	asx_ctl_010	1	A	prosody_control	ŕoŕo daohè!	Give the animal!	exact	ŕoŕo [H.L] | daohè [H.L.L]	ŕoŕo [H.L] | daohè [H.L.L]	ŕoŕo [lexical] | daohè [dao (root) + -hè (suffix)]	LH%	attested	H.L.H.L↗	mora_count_mismatch	attested
asx_ctl_010_t02	asx_ctl_010	2	A	prosody_control	ŕoŕo daohè!	Give the animal!	exact	ŕoŕo [H.L] | daohè [H.L.L]	ŕoŕo [H.L] | daohè [H.L.L]	ŕoŕo [lexical] | daohè [dao (root) + -hè (suffix)]	LH%	attested	H.L.H.L↗	mora_count_mismatch	attested
asx_ctl_010_t03	asx_ctl_010	3	A	prosody_control	ŕoŕo daohè!	Give the animal!	exact	ŕoŕo [H.L] | daohè [H.L.L]	ŕoŕo [H.L] | daohè [H.L.L]	ŕoŕo [lexical] | daohè [dao (root) + -hè (suffix)]	LH%	attested	H.L.H.L↗	mora_count_mismatch	attested
asx_ctl_011_t01	asx_ctl_011	1	A	prosody_control	haśùnáhè!	Do not run!	exact	haśùnáhè [L.H.H.L]	haśùnáhè [L.H.H.L]	haśùnáhè [haśù (root) + ná (dominant suffix) + -hè (suffix)]	LH%	attested	L.H.H↗	mora_count_mismatch	attested
asx_ctl_011_t02	asx_ctl_011	2	A	prosody_control	haśùnáhè!	Do not run!	exact	haśùnáhè [L.H.H.L]	haśùnáhè [L.H.H.L]	haśùnáhè [haśù (root) + ná (dominant suffix) + -hè (suffix)]	LH%	attested	L.H.H↗	mora_count_mismatch	attested
asx_ctl_011_t03	asx_ctl_011	3	A	prosody_control	haśùnáhè!	Do not run!	exact	haśùnáhè [L.H.H.L]	haśùnáhè [L.H.H.L]	haśùnáhè [haśù (root) + ná (dominant suffix) + -hè (suffix)]	LH%	attested	L.H.H↗	mora_count_mismatch	attested
asx_ctl_012_t01	asx_ctl_012	1	A	prosody_control	wo zèxăcè wő.	I assert that it was certainly so.	exact	wo [L] | zèxăcè [L.H.H] | wő [L]	wo [L] | zèxăcè [L.H.H] | wő [H]	wo [lexical] | zèxăcè [zè- (prefix) + xăcè (root)] | wő [lexical]	H%	attested	L.L.H.H.H	exact	attested
asx_ctl_012_t02	asx_ctl_012	2	A	prosody_control	wo zèxăcè wő.	I assert that it was certainly so.	exact	wo [L] | zèxăcè [L.H.H] | wő [L]	wo [L] | zèxăcè [L.H.H] | wő [H]	wo [lexical] | zèxăcè [zè- (prefix) + xăcè (root)] | wő [lexical]	H%	attested	L.L.H.H.H	exact	attested
asx_ctl_012_t03	asx_ctl_012	3	A	prosody_control	wo zèxăcè wő.	I assert that it was certainly so.	exact	wo [L] | zèxăcè [L.H.H] | wő [L]	wo [L] | zèxăcè [L.H.H] | wő [H]	wo [lexical] | zèxăcè [zè- (prefix) + xăcè (root)] | wő [lexical]	H%	attested	L.L.H.H.H	exact	attested
asx_ctl_013_t01	asx_ctl_013	1	A	prosody_control	ăjo lem, måmå natăka!	O Lem, remember tomorrow! (controlled vocative)	exact	ăjo [H.L] | lem [H] | måmå [H.L] | natăka [L.H.L]	ăjo [H.L] | lem [L] | måmå [H.L] | natăka [L.H.L]	ăjo [lexical] | lem [lexical] | måmå [lexical] | natăka [na- (prefix) + tăka (root)]	LH%	attested	H.L | L || H.L | L.H.L↗	exact	attested
asx_ctl_013_t02	asx_ctl_013	2	A	prosody_control	ăjo lem, måmå natăka!	O Lem, remember tomorrow! (controlled vocative)	exact	ăjo [H.L] | lem [H] | måmå [H.L] | natăka [L.H.L]	ăjo [H.L] | lem [L] | måmå [H.L] | natăka [L.H.L]	ăjo [lexical] | lem [lexical] | måmå [lexical] | natăka [na- (prefix) + tăka (root)]	LH%	attested	H.L | L || H.L | L.H.L↗	exact	attested
asx_ctl_013_t03	asx_ctl_013	3	A	prosody_control	ăjo lem, måmå natăka!	O Lem, remember tomorrow! (controlled vocative)	exact	ăjo [H.L] | lem [H] | måmå [H.L] | natăka [L.H.L]	ăjo [H.L] | lem [L] | måmå [H.L] | natăka [L.H.L]	ăjo [lexical] | lem [lexical] | måmå [lexical] | natăka [na- (prefix) + tăka (root)]	LH%	attested	H.L | L || H.L | L.H.L↗	exact	attested
asx_idm_4931335fd873_t01	asx_idm_4931335fd873	1	A	fixed_expression	fůjå ma.	Thank you (lit. (I) have wantlessness)	exact	fůjå [H.L] | ma [H]	fůjå [H.L] | ma [L]	fůjå [lexical] | ma [lexical]	L%	dictionary	H.L | H	exact	dictionary
asx_idm_4931335fd873_t02	asx_idm_4931335fd873	2	A	fixed_expression	fůjå ma.	Thank you (lit. (I) have wantlessness)	exact	fůjå [H.L] | ma [H]	fůjå [H.L] | ma [L]	fůjå [lexical] | ma [lexical]	L%	dictionary	H.L | H	exact	dictionary
asx_idm_4931335fd873_t03	asx_idm_4931335fd873	3	A	fixed_expression	fůjå ma.	Thank you (lit. (I) have wantlessness)	exact	fůjå [H.L] | ma [H]	fůjå [H.L] | ma [L]	fůjå [lexical] | ma [lexical]	L%	dictionary	H.L | H	exact	dictionary
asx_idm_ac3a0517965e_t01	asx_idm_ac3a0517965e	1	A	fixed_expression	gavină xogă.	Welcome (lit. well arrived)	exact	gavină [H.L.L] | xogă [L.H]	gavină [H.L.L] | xogă [L.L]	gavină [lexical] | xogă [lexical]	L%	dictionary	H.L.L | L.H	exact	dictionary
asx_idm_ac3a0517965e_t02	asx_idm_ac3a0517965e	2	A	fixed_expression	gavină xogă.	Welcome (lit. well arrived)	exact	gavină [H.L.L] | xogă [L.H]	gavină [H.L.L] | xogă [L.L]	gavină [lexical] | xogă [lexical]	L%	dictionary	H.L.L | L.H	exact	dictionary
asx_idm_ac3a0517965e_t03	asx_idm_ac3a0517965e	3	A	fixed_expression	gavină xogă.	Welcome (lit. well arrived)	exact	gavină [H.L.L] | xogă [L.H]	gavină [H.L.L] | xogă [L.L]	gavină [lexical] | xogă [lexical]	L%	dictionary	H.L.L | L.H	exact	dictionary
asx_idm_fa121cda1509_t01	asx_idm_fa121cda1509	1	A	fixed_expression	kozètètá ma.	I'm sorry (lit. (I) hold regret)	exact	kozètètá [H.L.L.L] | ma [H]	kozètètá [H.L.L.L] | ma [L]	kozètètá [lexical] | ma [lexical]	L%	dictionary	H.L.L.L | H	exact	dictionary
asx_idm_fa121cda1509_t02	asx_idm_fa121cda1509	2	A	fixed_expression	kozètètá ma.	I'm sorry (lit. (I) hold regret)	exact	kozètètá [H.L.L.L] | ma [H]	kozètètá [H.L.L.L] | ma [L]	kozètètá [lexical] | ma [lexical]	L%	dictionary	H.L.L.L | H	exact	dictionary
asx_idm_fa121cda1509_t03	asx_idm_fa121cda1509	3	A	fixed_expression	kozètètá ma.	I'm sorry (lit. (I) hold regret)	exact	kozètètá [H.L.L.L] | ma [H]	kozètètá [H.L.L.L] | ma [L]	kozètètá [lexical] | ma [lexical]	L%	dictionary	H.L.L.L | H	exact	dictionary
asx_idm_e40e4884c24d_t01	asx_idm_e40e4884c24d	1	A	fixed_expression	måmå natăka.	Goodbye (lit. until (the) re-uniting)	exact	måmå [H.L] | natăka [L.H.L]	måmå [H.L] | natăka [L.H.L]	måmå [lexical] | natăka [na- (prefix) + tăka (root)]	L%	dictionary	H.L | L.H.L	exact	dictionary
asx_idm_e40e4884c24d_t02	asx_idm_e40e4884c24d	2	A	fixed_expression	måmå natăka.	Goodbye (lit. until (the) re-uniting)	exact	måmå [H.L] | natăka [L.H.L]	måmå [H.L] | natăka [L.H.L]	måmå [lexical] | natăka [na- (prefix) + tăka (root)]	L%	dictionary	H.L | L.H.L	exact	dictionary
asx_idm_e40e4884c24d_t03	asx_idm_e40e4884c24d	3	A	fixed_expression	måmå natăka.	Goodbye (lit. until (the) re-uniting)	exact	måmå [H.L] | natăka [L.H.L]	måmå [H.L] | natăka [L.H.L]	måmå [lexical] | natăka [na- (prefix) + tăka (root)]	L%	dictionary	H.L | L.H.L	exact	dictionary
asx_idm_ccb72fc91239_t01	asx_idm_ccb72fc91239	1	A	fixed_expression	pxỏmă fůmă.	Every breath is none	exact	pxỏmă [H.H] | fůmă [L.L]	pxỏmă [H.H] | fůmă [L.L]	pxỏmă [lexical] | fůmă [lexical]	L%	dictionary	H.H | L.L	exact	dictionary
asx_idm_ccb72fc91239_t02	asx_idm_ccb72fc91239	2	A	fixed_expression	pxỏmă fůmă.	Every breath is none	exact	pxỏmă [H.H] | fůmă [L.L]	pxỏmă [H.H] | fůmă [L.L]	pxỏmă [lexical] | fůmă [lexical]	L%	dictionary	H.H | L.L	exact	dictionary
asx_idm_ccb72fc91239_t03	asx_idm_ccb72fc91239	3	A	fixed_expression	pxỏmă fůmă.	Every breath is none	exact	pxỏmă [H.H] | fůmă [L.L]	pxỏmă [H.H] | fůmă [L.L]	pxỏmă [lexical] | fůmă [lexical]	L%	dictionary	H.H | L.L	exact	dictionary
asx_idm_87e11fc8d115_t01	asx_idm_87e11fc8d115	1	A	fixed_expression	sháŕo ma.	To be in charge (lit. To have the waterhole)	exact	sháŕo [H.L] | ma [H]	sháŕo [H.L] | ma [L]	sháŕo [lexical] | ma [lexical]	L%	dictionary	H.L | H	exact	dictionary
asx_idm_87e11fc8d115_t02	asx_idm_87e11fc8d115	2	A	fixed_expression	sháŕo ma.	To be in charge (lit. To have the waterhole)	exact	sháŕo [H.L] | ma [H]	sháŕo [H.L] | ma [L]	sháŕo [lexical] | ma [lexical]	L%	dictionary	H.L | H	exact	dictionary
asx_idm_87e11fc8d115_t03	asx_idm_87e11fc8d115	3	A	fixed_expression	sháŕo ma.	To be in charge (lit. To have the waterhole)	exact	sháŕo [H.L] | ma [H]	sháŕo [H.L] | ma [L]	sháŕo [lexical] | ma [lexical]	L%	dictionary	H.L | H	exact	dictionary
asx_idm_d225dd41b6e2_t01	asx_idm_d225dd41b6e2	1	A	fixed_expression	tte pùŕima.	I suspect that.../ I am unsure	exact	tte [L.L] | pùŕima [L.H.L]	tte [L.H] | pùŕima [L.H.L]	tte [lexical] | pùŕima [lexical]	L%	dictionary	L.L | L.H.L	exact	dictionary
asx_idm_d225dd41b6e2_t02	asx_idm_d225dd41b6e2	2	A	fixed_expression	tte pùŕima.	I suspect that.../ I am unsure	exact	tte [L.L] | pùŕima [L.H.L]	tte [L.H] | pùŕima [L.H.L]	tte [lexical] | pùŕima [lexical]	L%	dictionary	L.L | L.H.L	exact	dictionary
asx_idm_d225dd41b6e2_t03	asx_idm_d225dd41b6e2	3	A	fixed_expression	tte pùŕima.	I suspect that.../ I am unsure	exact	tte [L.L] | pùŕima [L.H.L]	tte [L.H] | pùŕima [L.H.L]	tte [lexical] | pùŕima [lexical]	L%	dictionary	L.L | L.H.L	exact	dictionary
asx_idm_480a2ad6cabf_t01	asx_idm_480a2ad6cabf	1	A	fixed_expression	tte xăcè.	I am sure that...(certainty)	exact	tte [L.L] | xăcè [H.H]	tte [L.H] | xăcè [L.L]	tte [lexical] | xăcè [lexical]	L%	dictionary	L.L | H.H	exact	dictionary
asx_idm_480a2ad6cabf_t02	asx_idm_480a2ad6cabf	2	A	fixed_expression	tte xăcè.	I am sure that...(certainty)	exact	tte [L.L] | xăcè [H.H]	tte [L.H] | xăcè [L.L]	tte [lexical] | xăcè [lexical]	L%	dictionary	L.L | H.H	exact	dictionary
asx_idm_480a2ad6cabf_t03	asx_idm_480a2ad6cabf	3	A	fixed_expression	tte xăcè.	I am sure that...(certainty)	exact	tte [L.L] | xăcè [H.H]	tte [L.H] | xăcè [L.L]	tte [lexical] | xăcè [lexical]	L%	dictionary	L.L | H.H	exact	dictionary
asx_idm_7d5d65b461ab_t01	asx_idm_7d5d65b461ab	1	A	fixed_expression	tte ŕima.	I think that...(opinion)	exact	tte [L.L] | ŕima [H.L]	tte [L.H] | ŕima [L.L]	tte [lexical] | ŕima [lexical]	L%	dictionary	L.L | H.L	exact	dictionary
asx_idm_7d5d65b461ab_t02	asx_idm_7d5d65b461ab	2	A	fixed_expression	tte ŕima.	I think that...(opinion)	exact	tte [L.L] | ŕima [H.L]	tte [L.H] | ŕima [L.L]	tte [lexical] | ŕima [lexical]	L%	dictionary	L.L | H.L	exact	dictionary
asx_idm_7d5d65b461ab_t03	asx_idm_7d5d65b461ab	3	A	fixed_expression	tte ŕima.	I think that...(opinion)	exact	tte [L.L] | ŕima [H.L]	tte [L.H] | ŕima [L.L]	tte [lexical] | ŕima [lexical]	L%	dictionary	L.L | H.L	exact	dictionary
asx_idm_6c8ab1ea3199_t01	asx_idm_6c8ab1ea3199	1	A	fixed_expression	xi gavină.	Good day (lit. the day is good)	exact	xi [H] | gavină [H.L.L]	xi [H] | gavină [H.L.L]	xi [lexical] | gavină [lexical]	L%	dictionary	H | H.L.L	exact	dictionary
asx_idm_6c8ab1ea3199_t02	asx_idm_6c8ab1ea3199	2	A	fixed_expression	xi gavină.	Good day (lit. the day is good)	exact	xi [H] | gavină [H.L.L]	xi [H] | gavină [H.L.L]	xi [lexical] | gavină [lexical]	L%	dictionary	H | H.L.L	exact	dictionary
asx_idm_6c8ab1ea3199_t03	asx_idm_6c8ab1ea3199	3	A	fixed_expression	xi gavină.	Good day (lit. the day is good)	exact	xi [H] | gavină [H.L.L]	xi [H] | gavină [H.L.L]	xi [lexical] | gavină [lexical]	L%	dictionary	H | H.L.L	exact	dictionary
asx_lex_d7e1de145f33_t01	asx_lex_d7e1de145f33	1	A	lexical_citation	mmbănă.	happy, joyful, giddy, excited, delighted, cheerful (citation form)	exact	mmbănă [L.H.L]	mmbănă [L.H.L]	mmbănă [lexical]	L%	dictionary	L.H.L	exact	dictionary
asx_lex_d7e1de145f33_t02	asx_lex_d7e1de145f33	2	A	lexical_citation	mmbănă.	happy, joyful, giddy, excited, delighted, cheerful (citation form)	exact	mmbănă [L.H.L]	mmbănă [L.H.L]	mmbănă [lexical]	L%	dictionary	L.H.L	exact	dictionary
asx_lex_578668dd5d2e_t01	asx_lex_578668dd5d2e	1	A	lexical_citation	ox.	Oh! (citation form)	exact	ox [L]	ox [H]	ox [lexical]	L%	dictionary	L	exact	dictionary
asx_lex_578668dd5d2e_t02	asx_lex_578668dd5d2e	2	A	lexical_citation	ox.	Oh! (citation form)	exact	ox [L]	ox [H]	ox [lexical]	L%	dictionary	L	exact	dictionary
asx_lex_64c3f71cc4f2_t01	asx_lex_64c3f71cc4f2	1	A	lexical_citation	tëpỏ.	glove (citation form)	exact	tëpỏ [H.H]	tëpỏ [H.H]	tëpỏ [lexical]	L%	dictionary	H.H	exact	dictionary
asx_lex_64c3f71cc4f2_t02	asx_lex_64c3f71cc4f2	2	A	lexical_citation	tëpỏ.	glove (citation form)	exact	tëpỏ [H.H]	tëpỏ [H.H]	tëpỏ [lexical]	L%	dictionary	H.H	exact	dictionary
asx_lex_7f13d396aac9_t01	asx_lex_7f13d396aac9	1	A	lexical_citation	daonidao.	to trade, to exchange (citation form)	exact	daonidao [H.L.L.L.L]	daonidao [H.L.L.L.L]	daonidao [lexical]	L%	dictionary	H.L.L.L.L	exact	dictionary
asx_lex_7f13d396aac9_t02	asx_lex_7f13d396aac9	2	A	lexical_citation	daonidao.	to trade, to exchange (citation form)	exact	daonidao [H.L.L.L.L]	daonidao [H.L.L.L.L]	daonidao [lexical]	L%	dictionary	H.L.L.L.L	exact	dictionary
asx_lex_7a699fd5c265_t01	asx_lex_7a699fd5c265	1	A	lexical_citation	ŕasopŕoŕo.	steam engine, locomotive (citation form)	exact	ŕasopŕoŕo [H.L.L.L]	ŕasopŕoŕo [H.L.L.L]	ŕasopŕoŕo [lexical]	L%	dictionary	H.L.L.L	exact	dictionary
asx_lex_7a699fd5c265_t02	asx_lex_7a699fd5c265	2	A	lexical_citation	ŕasopŕoŕo.	steam engine, locomotive (citation form)	exact	ŕasopŕoŕo [H.L.L.L]	ŕasopŕoŕo [H.L.L.L]	ŕasopŕoŕo [lexical]	L%	dictionary	H.L.L.L	exact	dictionary
asx_lex_ac32a684915a_t01	asx_lex_ac32a684915a	1	A	lexical_citation	ná.	no, not (citation form)	exact	ná [H]	ná [H]	ná [lexical]	L%	dictionary	H	exact	dictionary
asx_lex_ac32a684915a_t02	asx_lex_ac32a684915a	2	A	lexical_citation	ná.	no, not (citation form)	exact	ná [H]	ná [H]	ná [lexical]	L%	dictionary	H	exact	dictionary
asx_lex_e989ab0be0e1_t01	asx_lex_e989ab0be0e1	1	A	lexical_citation	kkè.	?! (agitated question) (citation form)	exact	kkè [L.L]	kkè [L.H]	kkè [lexical]	L%	dictionary	L.L	exact	dictionary
asx_lex_e989ab0be0e1_t02	asx_lex_e989ab0be0e1	2	A	lexical_citation	kkè.	?! (agitated question) (citation form)	exact	kkè [L.L]	kkè [L.H]	kkè [lexical]	L%	dictionary	L.L	exact	dictionary
asx_lex_0350e2034167_t01	asx_lex_0350e2034167	1	A	lexical_citation	ŕoŕă.	to turn, to rotate (citation form)	exact	ŕoŕă [H.L]	ŕoŕă [H.L]	ŕoŕă [lexical]	L%	dictionary	H.L	exact	dictionary
asx_lex_0350e2034167_t02	asx_lex_0350e2034167	2	A	lexical_citation	ŕoŕă.	to turn, to rotate (citation form)	exact	ŕoŕă [H.L]	ŕoŕă [H.L]	ŕoŕă [lexical]	L%	dictionary	H.L	exact	dictionary
asx_lex_8ddfc29c20d6_t01	asx_lex_8ddfc29c20d6	1	A	lexical_citation	ŕăvixů.	to spice, to season (citation form)	exact	ŕăvixů [H.L.L]	ŕăvixů [H.L.L]	ŕăvixů [lexical]	L%	dictionary	H.L.L	exact	dictionary
asx_lex_8ddfc29c20d6_t02	asx_lex_8ddfc29c20d6	2	A	lexical_citation	ŕăvixů.	to spice, to season (citation form)	exact	ŕăvixů [H.L.L]	ŕăvixů [H.L.L]	ŕăvixů [lexical]	L%	dictionary	H.L.L	exact	dictionary
asx_lex_a96740f6ba10_t01	asx_lex_a96740f6ba10	1	A	lexical_citation	găxăni.	forever (citation form)	exact	găxăni [L.L.L]	găxăni [H.L.L]	găxăni [lexical]	L%	dictionary	L.L.L	exact	dictionary
asx_lex_a96740f6ba10_t02	asx_lex_a96740f6ba10	2	A	lexical_citation	găxăni.	forever (citation form)	exact	găxăni [L.L.L]	găxăni [H.L.L]	găxăni [lexical]	L%	dictionary	L.L.L	exact	dictionary
asx_lex_c516562f5978_t01	asx_lex_c516562f5978	1	A	lexical_citation	gaŕo.	city, metropolis (citation form)	exact	gaŕo [L.H]	gaŕo [H.L]	gaŕo [lexical]	L%	dictionary	L.H	exact	dictionary
asx_lex_c516562f5978_t02	asx_lex_c516562f5978	2	A	lexical_citation	gaŕo.	city, metropolis (citation form)	exact	gaŕo [L.H]	gaŕo [H.L]	gaŕo [lexical]	L%	dictionary	L.H	exact	dictionary
asx_lex_0af5583e85e8_t01	asx_lex_0af5583e85e8	1	A	lexical_citation	xogăni.	to arrive at, to reach (a state), to attain, to come into (citation form)	exact	xogăni [L.H.H]	xogăni [H.L.L]	xogăni [lexical]	L%	dictionary	L.H.H	exact	dictionary
asx_lex_0af5583e85e8_t02	asx_lex_0af5583e85e8	2	A	lexical_citation	xogăni.	to arrive at, to reach (a state), to attain, to come into (citation form)	exact	xogăni [L.H.H]	xogăni [H.L.L]	xogăni [lexical]	L%	dictionary	L.H.H	exact	dictionary
asx_lex_02d20a45dcd2_t01	asx_lex_02d20a45dcd2	1	A	lexical_citation	tamnishá.	spouse, partner (citation form)	exact	tamnishá [H.H.H]	tamnishá [H.H.H]	tamnishá [lexical]	L%	dictionary	H.H.H	exact	dictionary
asx_lex_02d20a45dcd2_t02	asx_lex_02d20a45dcd2	2	A	lexical_citation	tamnishá.	spouse, partner (citation form)	exact	tamnishá [H.H.H]	tamnishá [H.H.H]	tamnishá [lexical]	L%	dictionary	H.H.H	exact	dictionary
asx_lex_cf7101ea64e2_t01	asx_lex_cf7101ea64e2	1	A	lexical_citation	hùxaxaśbibåbå.	hamstrings (citation form)	exact	hùxaxaśbibåbå [L.L.L.H.L.L]	hùxaxaśbibåbå [H.L.L.H.L.L]	hùxaxaśbibåbå [lexical]	L%	dictionary	L.L.L.H.L.L	exact	dictionary
